Date,Share Code,Year High (GHS),Year Low (GHS),Previous Closing Price VWAP (GHS),Opening Price (GHS),Closing Price VWAP (GHS),Price Change (GHS),Closing Bid Price (GHS),Last Transaction Price (GHS),Total Shares Traded,Closing Offer Price (GHS),,,,,,,,,,,
2017-01-30,AYRTN,0.12,0.1,0.1,0.1,0.1,0,,0.1,0,,,,,,,,,,,,
2017-01-31,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-02-01,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-02-02,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,500,,,,,,,,,,,,
2017-02-03,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-02-06,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-02-07,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.11,0.1,0,,,,,,,,,,,,
2017-02-08,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-02-09,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-02-10,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-02-13,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-02-14,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-02-15,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-02-16,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-02-17,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-02-20,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.11,0.1,0,,,,,,,,,,,,
2017-02-21,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-02-22,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-02-23,AYRTN,0.12,0.1,0.1,0.1,0.1,0,,0.1,0,,,,,,,,,,,,
2017-02-24,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.12,0.1,0,,,,,,,,,,,,
2017-02-27,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-02-28,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-03-01,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.1,0.1,0,,,,,,,,,,,,
2017-03-02,AYRTN,0.12,0.1,0.1,0.1,0.1,0,0.12,0.1,0,,,,,,,,,,,,
2017-03-03,AYRTN,0.12,0.1,0.1,0.1,0.1,0,,0.1,0,,,,,,,,,,,,
