"account no","rate pa","rateable value","current amount",arrears,"rate impose","total paid","account balance","bill type","bill year ","bill date"
PR-AY00708,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00139,50,0,50,0,,0,50,b,2018,"2018-12-20 00:00:00"
PR-AY00706,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00138,100,0,100,0,,0,100,b,2018,"2018-12-20 00:00:00"
PR-AY00704,0,0,50,0,,0,50,p,2018,"2018-12-24 00:00:00"
BB-AY00137,50,0,50,0,,0,50,b,2018,"2018-12-20 00:00:00"
BB-AY00136,50,0,50,0,,0,50,b,2018,"2018-12-20 00:00:00"
BB-AY00135,50,0,50,0,,0,50,b,2018,"2018-12-20 00:00:00"
BB-AY00134,50,0,50,0,,0,50,b,2018,"2018-12-20 00:00:00"
BB-AY00133,200,0,200,0,,0,200,b,2018,"2018-12-20 00:00:00"
BB-AY00132,200,0,200,0,,0,200,b,2018,"2018-12-20 00:00:00"
BB-AY00131,200,0,200,0,,0,200,b,2018,"2018-12-20 00:00:00"
BB-AY00130,30,0,30,0,,0,30,b,2018,"2018-12-20 00:00:00"
BB-AY00129,50,0,50,0,,0,50,b,2018,"2018-12-20 00:00:00"
BB-AY00128,50,0,50,0,,0,50,b,2018,"2018-12-20 00:00:00"
PR-AY00702,0,0,32,0,,0,32,p,2018,"2018-12-24 00:00:00"
PR-AY00700,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
BB-AY00127,60,0,60,0,,0,60,b,2018,"2018-12-20 00:00:00"
BB-AY00126,60,0,60,0,,0,60,b,2018,"2018-12-20 00:00:00"
PR-AY00698,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
BB-AY00125,200,0,200,0,,0,200,b,2018,"2018-12-20 00:00:00"
BB-AY00124,300,0,300,0,,0,300,b,2018,"2018-12-20 00:00:00"
BB-AY00123,100,0,100,0,,0,100,b,2018,"2018-12-20 00:00:00"
PR-AY00696,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
BB-AY00122,60,0,60,0,,0,60,b,2018,"2018-12-20 00:00:00"
BB-AY00121,50,0,50,0,,0,50,b,2018,"2018-12-20 00:00:00"
BB-AY00120,200,0,200,0,,0,200,b,2018,"2018-12-20 00:00:00"
BB-AY00119,800,0,800,0,,0,800,b,2018,"2018-12-20 00:00:00"
PR-AY00694,0,0,32,0,,0,32,p,2018,"2018-12-24 00:00:00"
PR-AY00692,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00690,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00688,0,0,50,0,,0,50,p,2018,"2018-12-24 00:00:00"
PR-AY00686,0,0,50,0,,0,50,p,2018,"2018-12-24 00:00:00"
BB-AY00118,50,0,50,0,,0,50,b,2018,"2018-12-20 00:00:00"
PR-AY00684,0,0,50,0,,0,50,p,2018,"2018-12-24 00:00:00"
BB-AY00117,200,0,200,0,,0,200,b,2018,"2018-12-20 00:00:00"
BB-AY00116,50,0,50,0,,0,50,b,2018,"2018-12-20 00:00:00"
BB-AY00115,500,0,500,0,,0,500,b,2018,"2018-12-20 00:00:00"
BB-AY00114,50,0,50,0,,0,50,b,2018,"2018-12-20 00:00:00"
PR-AY00682,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
PR-AY00680,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
PR-AY00678,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00676,0,0,50,0,,0,50,p,2018,"2018-12-24 00:00:00"
PR-AY00674,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
