"account no","rate pa","rateable value","current amount",arrears,"rate impose","total paid","account balance","bill type","bill year ","bill date"
PR-AY00314,0,0,85,0,,0,85,p,2018,"2018-12-24 00:00:00"
PR-AY00312,0,0,85,0,,0,85,p,2018,"2018-12-24 00:00:00"
PR-AY00310,0,0,150,0,,0,150,p,2018,"2018-12-24 00:00:00"
PR-AY00308,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00304,0.0025,0,200,0,,0,200,p,2018,"2018-12-24 00:00:00"
PR-AY00300,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00086,60,0,60,0,,0,60,b,2018,"2018-12-06 00:00:00"
PR-AY00298,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00296,0,0,50,0,,0,50,p,2018,"2018-12-24 00:00:00"
PR-AY00284,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00282,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00280,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
BB-OMA00085,1000,0,1000,0,,0,1000,b,2018,"2018-12-05 00:00:00"
PR-OF00276,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-OF00274,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
BB-OMA00084,50,0,50,0,,0,50,b,2018,"2018-12-05 00:00:00"
PR-OF00272,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-OF00270,0,0,500,0,,0,500,p,2018,"2018-12-24 00:00:00"
PR-AY00268,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
PR-OF00266,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00264,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-OF00262,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00260,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00083,4000,0,4000,0,,0,4000,b,2018,"2018-12-05 00:00:00"
PR-OF00258,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00082,120,0,120,0,,0,120,b,2018,"2018-12-05 00:00:00"
BB-OF00081,50,0,50,0,,0,50,b,2018,"2018-12-05 00:00:00"
PR-AY00256,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
PR-OMA00254,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-OF00252,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00078,30,0,30,0,,0,30,b,2018,"2018-12-05 00:00:00"
PR-OMA00250,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00077,625,0,625,0,,0,625,b,2018,"2018-12-05 00:00:00"
PR-AY00248,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
PR-OF00246,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00244,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-OF00242,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00240,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00076,50,0,50,0,,0,50,b,2018,"2018-12-05 00:00:00"
BB-AY00075,400,0,400,0,,0,400,b,2018,"2018-12-05 00:00:00"
PR-OF00238,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-OF00236,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00234,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-BM00230,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00228,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00226,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-OMA00224,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
PR-OMA00222,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00220,0,0,85,0,,0,85,p,2018,"2018-12-24 00:00:00"
PR-AY00218,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
PR-AY00216,0,0,50,0,,0,50,p,2018,"2018-12-24 00:00:00"
BB-OF00074,500,0,500,0,,0,500,b,2018,"2018-12-05 00:00:00"
PR-OF00214,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00212,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
PR-AY00210,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-OF00208,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00206,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00204,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
PR-OMA00202,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00200,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
PR-AY00198,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00196,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00194,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00192,0,0,150,0,,0,150,p,2018,"2018-12-24 00:00:00"
PR-AY00190,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00188,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00068,300,0,300,0,,0,300,b,2018,"2018-12-05 00:00:00"
PR-AY00186,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00184,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00182,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00180,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00178,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-OF00067,200,0,200,0,,0,200,b,2018,"2018-12-05 00:00:00"
BB-AY00066,300,0,300,0,,0,300,b,2018,"2018-12-05 00:00:00"
PR-AY00176,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00174,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00065,500,0,500,0,,0,500,b,2018,"2018-12-05 00:00:00"
BB-AY00064,300,0,300,0,,0,300,b,2018,"2018-12-05 00:00:00"
BB-AY00063,100,0,100,0,,0,100,b,2018,"2018-12-05 00:00:00"
PR-AY00172,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-OMA00170,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00168,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00062,150,0,150,0,,0,150,b,2018,"2018-12-05 00:00:00"
PR-AY00164,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00162,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-OMA00160,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00158,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00156,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00154,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00152,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-OF00150,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00148,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00060,300,0,300,0,,0,300,b,2018,"2018-12-05 00:00:00"
PR-AY00146,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00144,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00142,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00140,0,0,52,0,,0,52,p,2018,"2018-12-24 00:00:00"
PR-AY00138,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00136,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00134,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00132,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
BB-OF00058,200,0,200,0,,0,200,b,2018,"2018-12-04 00:00:00"
PR-OF00130,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-OF00128,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-OF00126,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-OF00124,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
BB-OF00057,100,0,100,0,,0,100,b,2018,"2018-12-04 00:00:00"
PR-OF00122,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-OMA00120,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
BB-OF00056,50,0,50,0,,0,50,b,2018,"2018-12-04 00:00:00"
BB-OMA00055,30,0,30,0,,0,30,b,2018,"2018-12-04 00:00:00"
PR-OF00118,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-OMA00054,100,0,100,0,,0,100,b,2018,"2018-12-04 00:00:00"
PR-OMA00116,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-OMA00053,2000,0,2000,0,,0,2000,b,2018,"2018-12-04 00:00:00"
BB-AY00051,750,0,750,0,,0,750,b,2018,"2018-12-04 00:00:00"
BB-OMA00049,300,0,300,0,,0,300,b,2018,"2018-12-04 00:00:00"
BB-AY00048,750,0,750,0,,0,750,b,2018,"2018-12-04 00:00:00"
PR-OMA00114,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
BB-OMA00047,500,0,500,0,,0,500,b,2018,"2018-12-04 00:00:00"
BB-OMA00046,300,0,300,0,,0,300,b,2018,"2018-12-04 00:00:00"
BB-OF00044,300,0,300,0,,0,300,b,2018,"2018-12-04 00:00:00"
PR-OMA00112,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-OMA00110,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00108,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-OMA00043,50,0,50,0,,0,50,b,2018,"2018-12-04 00:00:00"
PR-AY00106,0.0025,0,200,0,,0,200,p,2018,"2018-12-24 00:00:00"
PR-AY00104,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
BB-OMA00041,300,0,300,0,,0,300,b,2018,"2018-12-04 00:00:00"
PR-AY00102,0.0025,0,200,0,,0,200,p,2018,"2018-12-24 00:00:00"
BB-OMA00039,60,0,60,0,,0,60,b,2018,"2018-12-04 00:00:00"
PR-AY00100,0,0,400,0,,0,400,p,2018,"2018-12-24 00:00:00"
PR-AY00098,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-OMA00096,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-OMA00094,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00092,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00036,100,0,100,0,,0,100,b,2018,"2018-12-04 00:00:00"
BB-OMA00035,60,0,60,0,,0,60,b,2018,"2018-12-04 00:00:00"
PR-OMA00090,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00088,0,0,400,0,,0,400,p,2018,"2018-12-24 00:00:00"
BB-OMA00034,100,0,100,0,,0,100,b,2018,"2018-12-04 00:00:00"
PR-AY00086,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
BB-OMA00033,400,0,400,0,,0,400,b,2018,"2018-12-04 00:00:00"
PR-OMA00084,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
BB-OMA00032,100,0,100,0,,0,100,b,2018,"2018-12-04 00:00:00"
PR-OMA00082,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00080,0.0025,0,200,0,,0,200,p,2018,"2018-12-24 00:00:00"
PR-OMA00078,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
BB-OF00031,2000,0,2000,0,,0,2000,b,2018,"2018-12-04 00:00:00"
BB-AY00030,400,0,400,0,,0,400,b,2018,"2018-12-04 00:00:00"
BB-OF00027,200,0,200,0,,0,200,b,2018,"2018-12-04 00:00:00"
PR-AY00076,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
PR-OMA00074,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-OMA00072,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00025,300,0,300,0,,0,300,b,2018,"2018-12-04 00:00:00"
BB-AY00024,300,0,300,0,,0,300,b,2018,"2018-12-04 00:00:00"
PR-OMA00070,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00023,50,0,50,0,,0,50,b,2018,"2018-12-04 00:00:00"
PR-AY00068,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00066,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-OMA00064,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00062,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00060,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-OMA00058,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00056,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
BB-AY00021,400,0,400,0,,0,400,b,2018,"2018-12-04 00:00:00"
PR-AY00054,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00052,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
BB-AY00020,100,0,100,0,,0,100,b,2018,"2018-12-04 00:00:00"
PR-AY00050,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00048,0,0,400,0,,0,400,p,2018,"2018-12-24 00:00:00"
PR-AY00046,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
BB-AY00017,100,0,100,0,,0,100,b,2018,"2018-12-04 00:00:00"
PR-AY00044,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
BB-AY00015,50,0,50,0,,0,50,b,2018,"2018-12-04 00:00:00"
PR-AY00042,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-OMA00040,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00038,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
BB-AY00012,400,0,400,0,,0,400,b,2018,"2018-12-04 00:00:00"
PR-AY00036,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00034,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00032,0,0,400,0,,0,400,p,2018,"2018-12-24 00:00:00"
PR-AY00030,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00028,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
BB-AY00011,400,0,400,0,,0,400,b,2018,"2018-12-04 00:00:00"
PR-AY00026,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-KT00024,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
BB-KT00010,750,0,750,0,,0,750,b,2018,"2018-12-03 00:00:00"
BB-AY00009,750,0,750,0,,0,750,b,2018,"2018-12-03 00:00:00"
BB-AY00008,540,0,540,0,,0,540,b,2018,"2018-12-03 00:00:00"
PR-AY00022,0,0,25,0,,0,25,p,2018,"2018-12-24 00:00:00"
PR-AY00020,0,0,52,0,,0,52,p,2018,"2018-12-24 00:00:00"
PR-AY00018,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00016,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00014,0,0,400,0,,0,400,p,2018,"2018-12-24 00:00:00"
BB-AY00007,1000,0,1000,0,,0,1000,b,2018,"2018-12-03 00:00:00"
BB-KT00006,750,0,750,0,,0,750,b,2018,"2018-12-03 00:00:00"
BB-AY00005,1250,0,1250,0,,0,1250,b,2018,"2018-12-03 00:00:00"
BB-AY00003,100,0,100,0,,0,100,b,2018,"2018-12-03 00:00:00"
BB-AY00004,1250,0,1250,0,,0,1250,b,2018,"2018-12-03 00:00:00"
PR-AY00012,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-KT00010,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-OMA00008,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00006,0.0025,0,200,0,,0,200,p,2018,"2018-12-24 00:00:00"
PR-AY00004,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00002,0.00065,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
BB-OMAAY00002,500,0,500,0,,0,500,b,2018,"2018-11-28 00:00:00"
<!DOCTYPE html>
<html>
    <head>
        <meta charset="UTF-8" />
        <meta http-equiv="refresh" content="0;url=http://oforikrom-rms.herokuapp.com/console/reports/bills/account" />

        <title>Redirecting to http://oforikrom-rms.herokuapp.com/console/reports/bills/account</title>
    </head>
    <body>
        Redirecting to <a href="http://oforikrom-rms.herokuapp.com/console/reports/bills/account">http://oforikrom-rms.herokuapp.com/console/reports/bills/account</a>.
    </body>
</html>
